Organization : org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101010000, 83
202101010015, 94
202101010030, 75
202101010045, 96
202101010100, 89
202101010115, 88
202101010130, 73
202101010145, 73
202101010200, 82
202101010215, 73
202101010230, 91
202101010245, 97
202101010300, 79
202101010315, 76
202101010330, 95
202101010345, 72
202101010400, 74
202101010415, 77
202101010430, 89
202101010445, 97
202101010500, 99
202101010515, 77
202101010530, 95
202101010545, 73
202101010600, 86
202101010615, 72
202101010630, 87
202101010645, 81
202101010700, 75
202101010715, 97
202101010730, 91
202101010745, 77
202101010800, 79
202101010815, 97
202101010830, 70
202101010845, 74
202101010900, 71
202101010915, 70
202101010930, 89
202101010945, 99
202101011000, 73
202101011015, 88
202101011030, 88
202101011045, 83
202101011100, 81
202101011115, 92
202101011130, 74
202101011145, 71
202101011200, 73
202101011215, 98
202101011230, 96
202101011245, 80
202101011300, 83
202101011315, 96
202101011330, 76
202101011345, 94
202101011400, 85
202101011415, 95
202101011430, 88
202101011445, 97
202101011500, 83
202101011515, 76
202101011530, 92
202101011545, 91
202101011600, 97
202101011615, 82
202101011630, 76
202101011645, 81
202101011700, 98
202101011715, 71
202101011730, 96
202101011745, 78
202101011800, 71
202101011815, 92
202101011830, 71
202101011845, 74
202101011900, 92
202101011915, 95
202101011930, 74
202101011945, 86
202101012000, 99
202101012015, 99
202101012030, 84
202101012045, 86
202101012100, 97
202101012115, 76
202101012130, 76
202101012145, 76
202101012200, 85
202101012215, 95
202101012230, 88
202101012245, 82
202101012300, 95
202101012315, 86
202101012330, 97
202101012345, 95
202101020000, 82
202101020015, 73
202101020030, 70
202101020045, 84
202101020100, 77
202101020115, 83
202101020130, 82
202101020145, 91
202101020200, 70
202101020215, 77
202101020230, 97
202101020245, 78
202101020300, 81
202101020315, 92
202101020330, 85
202101020345, 86
202101020400, 85
202101020415, 90
202101020430, 96
202101020445, 81
202101020500, 78
202101020515, 95
202101020530, 87
202101020545, 76
202101020600, 96
202101020615, 76
202101020630, 81
202101020645, 76
202101020700, 73
202101020715, 71
202101020730, 89
202101020745, 97
202101020800, 95
202101020815, 95
202101020830, 79
202101020845, 94
202101020900, 70
202101020915, 78
202101020930, 88
202101020945, 83
202101021000, 91
202101021015, 83
202101021030, 91
202101021045, 91
202101021100, 72
202101021115, 87
202101021130, 70
202101021145, 74
202101021200, 93
202101021215, 77
