Organization : org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh>, <energy production in MWh>
202201010000, 105, 115
202201010015, 116, 122
202201010030, 117, 111
202201010045, 133, 109
202201010100, 134, 101
202201010115, 114, 114
202201010130, 119, 115
202201010145, 122, 111
202201010200, 114, 106
202201010215, 128, 123
202201010230, 124, 109
202201010245, 134, 110
202201010300, 114, 95
202201010315, 108, 113
202201010330, 124, 98
202201010345, 119, 100
202201010400, 128, 109
202201010415, 119, 96
202201010430, 106, 109
202201010445, 105, 123
202201010500, 119, 115
202201010515, 117, 118
202201010530, 131, 105
202201010545, 114, 113
202201010600, 130, 99
202201010615, 111, 124
202201010630, 129, 106
202201010645, 118, 114
202201010700, 120, 124
202201010715, 127, 100
202201010730, 109, 100
202201010745, 124, 106
202201010800, 107, 118
202201010815, 115, 109
202201010830, 114, 121
202201010845, 133, 107
202201010900, 107, 117
202201010915, 118, 116
202201010930, 127, 105
202201010945, 124, 95
202201011000, 108, 110
202201011015, 113, 109
202201011030, 134, 104
202201011045, 123, 103
202201011100, 125, 115
202201011115, 116, 122
202201011130, 130, 118
202201011145, 120, 108
202201011200, 133, 108
202201011215, 125, 110
202201011230, 114, 117
202201011245, 134, 115
202201011300, 125, 113
202201011315, 108, 118
202201011330, 130, 100
202201011345, 133, 97
202201011400, 120, 103
202201011415, 118, 100
202201011430, 112, 117
202201011445, 109, 110
202201011500, 108, 118
202201011515, 114, 107
202201011530, 128, 122
202201011545, 123, 115
202201011600, 122, 107
202201011615, 128, 119
202201011630, 113, 107
202201011645, 122, 101
202201011700, 126, 113
202201011715, 114, 106
202201011730, 115, 120
202201011745, 106, 111
202201011800, 126, 111
202201011815, 105, 111
202201011830, 126, 121
202201011845, 109, 108
202201011900, 132, 121
202201011915, 120, 122
202201011930, 110, 124
202201011945, 118, 98
202201012000, 131, 95
202201012015, 129, 119
202201012030, 111, 99
202201012045, 131, 103
202201012100, 105, 111
202201012115, 110, 100
202201012130, 123, 98
202201012145, 122, 107
202201012200, 126, 105
202201012215, 133, 101
202201012230, 126, 115
202201012245, 114, 114
202201012300, 115, 123
202201012315, 109, 120
202201012330, 123, 123
202201012345, 134, 101
202201020000, 109, 103
202201020015, 112, 113
202201020030, 131, 111
202201020045, 122, 105
202201020100, 119, 101
202201020115, 115, 115
202201020130, 127, 107
202201020145, 115, 112
202201020200, 128, 121
202201020215, 113, 112
202201020230, 114, 98
202201020245, 119, 99
202201020300, 133, 103
202201020315, 119, 100
202201020330, 134, 122
202201020345, 132, 111
202201020400, 126, 99
202201020415, 124, 95
202201020430, 134, 108
202201020445, 117, 100
202201020500, 115, 109
202201020515, 113, 110
202201020530, 108, 104
202201020545, 121, 123
202201020600, 124, 123
202201020615, 132, 102
202201020630, 123, 99
202201020645, 106, 119
202201020700, 108, 114
202201020715, 116, 112
202201020730, 126, 122
202201020745, 132, 106
202201020800, 105, 123
202201020815, 115, 101
202201020830, 110, 95
202201020845, 117, 113
202201020900, 110, 102
202201020915, 116, 104
202201020930, 112, 98
202201020945, 127, 118
202201021000, 129, 102
202201021015, 108, 110
202201021030, 111, 98
202201021045, 119, 107
202201021100, 124, 113
202201021115, 105, 119
202201021130, 122, 104
202201021145, 128, 110
202201021200, 120, 100
202201021215, 116, 103
202201021230, 125, 110
202201021245, 117, 98
202201021300, 133, 105
202201021315, 112, 108
202201021330, 130, 100
202201021345, 118, 104
202201021400, 105, 123
202201021415, 121, 114
202201021430, 122, 119
202201021445, 120, 113
202201021500, 115, 99
202201021515, 126, 107
202201021530, 119, 103
202201021545, 121, 113
202201021600, 128, 117
202201021615, 131, 115
202201021630, 114, 120
202201021645, 107, 106
202201021700, 127, 106
202201021715, 133, 109
202201021730, 132, 96
202201021745, 128, 110
202201021800, 112, 116
202201021815, 108, 103
202201021830, 128, 97
202201021845, 112, 122
202201021900, 106, 120
202201021915, 125, 101
202201021930, 121, 121
202201021945, 127, 98
202201022000, 121, 99
202201022015, 118, 120
202201022030, 131, 119
202201022045, 107, 107
202201022100, 132, 105
202201022115, 110, 99
202201022130, 131, 119
202201022145, 134, 114
202201022200, 113, 122
202201022215, 117, 107
202201022230, 127, 124
202201022245, 114, 101
202201022300, 107, 116
202201022315, 134, 107
202201022330, 127, 120
202201022345, 128, 101
202201030000, 124, 117
202201030015, 112, 108
202201030030, 112, 120
202201030045, 115, 101
202201030100, 126, 104
202201030115, 124, 96
202201030130, 117, 117
202201030145, 114, 117
202201030200, 106, 114
202201030215, 120, 113
202201030230, 121, 104
202201030245, 115, 97
202201030300, 114, 109
202201030315, 121, 117
202201030330, 120, 109
202201030345, 114, 121
202201030400, 128, 109
202201030415, 107, 101
202201030430, 125, 108
202201030445, 118, 102
202201030500, 110, 116
202201030515, 132, 98
202201030530, 121, 120
202201030545, 112, 95
202201030600, 111, 115
202201030615, 122, 99
202201030630, 109, 105
202201030645, 126, 109
202201030700, 115, 109
202201030715, 112, 124
202201030730, 105, 114
202201030745, 111, 111
202201030800, 126, 98
202201030815, 118, 115
202201030830, 109, 113
202201030845, 111, 116
202201030900, 125, 123
202201030915, 111, 95
202201030930, 119, 123
202201030945, 122, 120
202201031000, 108, 98
202201031015, 114, 120
202201031030, 129, 96
202201031045, 119, 106
202201031100, 121, 115
202201031115, 131, 114
202201031130, 125, 116
202201031145, 120, 104
202201031200, 133, 116
202201031215, 113, 109
202201031230, 130, 113
202201031245, 132, 98
202201031300, 118, 114
202201031315, 105, 96
202201031330, 129, 120
202201031345, 131, 116
202201031400, 131, 99
202201031415, 110, 95
202201031430, 127, 95
202201031445, 117, 106
202201031500, 120, 101
202201031515, 119, 96
202201031530, 134, 96
202201031545, 125, 122
202201031600, 120, 113
202201031615, 119, 115
202201031630, 117, 99
202201031645, 124, 113
202201031700, 111, 108
202201031715, 112, 96
202201031730, 120, 120
202201031745, 123, 111
202201031800, 129, 116
202201031815, 121, 111
202201031830, 111, 105
202201031845, 134, 124
202201031900, 122, 105
202201031915, 127, 122
202201031930, 109, 112
202201031945, 110, 98
202201032000, 106, 115
202201032015, 126, 102
202201032030, 108, 107
202201032045, 117, 104
202201032100, 119, 119
202201032115, 125, 110
202201032130, 120, 109
202201032145, 128, 118
202201032200, 131, 100
202201032215, 105, 107
202201032230, 129, 122
202201032245, 127, 99
202201032300, 115, 99
202201032315, 132, 98
202201032330, 126, 103
202201032345, 126, 96
202201040000, 123, 96
202201040015, 117, 108
202201040030, 112, 96
202201040045, 129, 112
